age,tenure_months,estimated_income,total_spend,avg_transaction_value,transaction_count,gender_Female,gender_Male,gender_Other,location_Rural,location_Suburban,location_Urban,customer_id
0.8562979670900093,1.5365730990342026,-1.0497262166596386,2.0533567680565237,0.9281359341909643,1.3957569804032068,0.0,1.0,0.0,0.0,0.0,1.0,1
1.7506829757808857,1.0644677448079,-0.36781705521352864,-1.0932419485117606,-0.3398411518252056,-1.40950275309736,1.0,0.0,0.0,0.0,0.0,1.0,2
0.16830949886625826,1.5365730990342026,0.9527574253637459,-0.770435673513342,0.7327766048246215,-1.40950275309736,0.0,0.0,1.0,0.0,0.0,1.0,3
-0.7948743566469932,0.8284150676947488,0.6269687880362034,-0.09643903653203839,-0.09169034386486445,-0.006872886347076566,1.0,0.0,0.0,1.0,0.0,0.0,4
1.1314933543795098,-1.0009931799321736,-0.02691230598079755,1.2009769535590105,1.632726480114028,-0.006872886347076566,1.0,0.0,0.0,1.0,0.0,0.0,5
-1.276466284403619,-1.532111703436764,-1.1743508629985835,2.1349372380053384,1.4430864863400434,0.9282136914864457,0.0,1.0,0.0,0.0,0.0,1.0,6
-0.3820812757127426,0.061243867077007144,-2.366077467822238,0.14922297388626146,-0.16004216185307232,0.4606704025696846,0.0,1.0,0.0,0.0,0.0,1.0,7
-0.03808704160086706,-1.2370458570453249,-0.2478911918554704,1.2061617569889644,1.0106200322171153,0.4606704025696846,0.0,1.0,0.0,0.0,0.0,1.0,8
-0.5196789693574928,1.0644677448079,0.007129593644859429,0.9694783291079035,0.3366361235155151,0.9282136914864457,1.0,0.0,0.0,0.0,0.0,1.0,9
-0.24448358206799237,0.17927020563358279,0.12849090899525345,0.15813505293433086,0.8419273661981371,-0.4744161752638377,1.0,0.0,0.0,0.0,0.0,1.0,10
-1.0700697439364937,0.41532288274673407,-1.5736152253822768,-0.43406869689859745,1.850453737554955,-1.40950275309736,0.0,1.0,0.0,0.0,0.0,1.0,11
-1.0700697439364937,1.3595335911993391,-0.9610627372808748,0.7495577083974041,-0.15492698218246256,1.3957569804032068,0.0,1.0,0.0,0.0,0.0,1.0,12
-0.17568473524561729,0.41532288274673407,0.4138315817215834,0.6233691449358599,0.8650184894167326,-0.006872886347076566,0.0,1.0,0.0,0.0,1.0,0.0,13
0.649901426622884,-0.35184831787100757,0.6227834373640443,1.9670061224753186,1.283657919370232,0.9282136914864457,1.0,0.0,0.0,0.0,1.0,0.0,14
0.9250968139123844,-0.29283514859271975,0.20735425772028374,-1.2167051714377182,-0.7500836268336206,-1.40950275309736,1.0,0.0,0.0,0.0,1.0,0.0,15
-0.17568473524561729,1.2415072526427635,-0.3848495311259531,0.17465598974218247,-0.4179434322787047,0.9282136914864457,0.0,1.0,0.0,0.0,0.0,1.0,16
-0.03808704160086706,0.6513755598598854,-1.2939626808877231,1.002603747513668,0.3680843632895334,0.9282136914864457,1.0,0.0,0.0,1.0,0.0,0.0,17
-0.3132824288903675,-0.0567824714795685,1.0217411803905796,-0.508640935618766,0.356987772772627,-0.9419594641805988,1.0,0.0,0.0,1.0,0.0,0.0,18
-1.6892593653378696,1.713612606869066,0.7763032459112434,0.61301875056838,0.3536566352875919,0.4606704025696846,1.0,0.0,0.0,0.0,0.0,1.0,19
-0.17568473524561729,0.5923623905815976,-0.6310138116688248,-0.3386664141690398,0.7335143027808109,-0.9419594641805988,1.0,0.0,0.0,0.0,0.0,1.0,20
1.2002922012018848,1.2415072526427635,0.8912181149431825,-0.07938043922614268,-0.06901748303038127,-0.006872886347076566,0.0,1.0,0.0,0.0,0.0,1.0,21
0.23710834568863334,1.1824940833644757,-0.08472471856811133,1.4790518018457899,2.002320311524607,-0.006872886347076566,0.0,0.0,1.0,0.0,0.0,1.0,22
0.7874991202676342,1.0054545755296123,-0.7480230779212391,0.3492875315178527,-0.2521536894716492,0.9282136914864457,1.0,0.0,0.0,0.0,0.0,1.0,23
-1.6892593653378696,0.35630971346844625,0.007129593644859429,0.7064498946855808,0.457140687453461,0.4606704025696846,0.0,1.0,0.0,0.0,0.0,1.0,24
-0.3820812757127426,-0.882966841375598,0.09833471973124011,-0.8168252560546977,-0.3257002665109135,-0.9419594641805988,0.0,1.0,0.0,0.0,0.0,1.0,25
0.44350488615575867,0.8874282369730366,-0.473057140461309,-1.0760379546967314,-0.2826758775399259,-1.40950275309736,1.0,0.0,0.0,0.0,0.0,1.0,26
-0.03808704160086706,-0.7059273335407346,0.007129593644859429,0.34264068382900387,0.4918976977819738,-0.006872886347076566,0.0,1.0,0.0,0.0,0.0,1.0,27
-0.3132824288903675,-0.5879009949841588,-1.2968290591890281,2.4178120103442127,1.2308880758460525,1.3957569804032068,0.0,1.0,0.0,1.0,0.0,0.0,28
