transaction_id,customer_id,transaction_date,amount
1,4655,2023-05-24,1.7385634163718757
2,3172,2023-03-09,17.1839491548745
3,2801,2023-03-10,29.781785724653954
4,3414,2023-07-01,66.56718294725523
5,1258,2023-08-08,2.2555094866075063
6,4889,2023-12-09,75.98686525487776
7,4786,2023-10-25,11.3229372942898
8,4573,2023-07-11,71.2583651149863
9,4781,2023-05-06,49.104276995284934
10,2420,2023-01-19,20.743648952981538
11,1144,2023-03-30,64.32271932472914
12,4638,2023-03-24,13.480490455139481
13,4275,2023-11-14,12.405632480616367
14,3166,2023-09-16,3.1866627085772725
15,2615,2023-09-21,24.967681787437282
16,748,2023-08-06,5.140778455974758
17,3490,2023-10-02,27.193351873290645
18,2634,2023-04-29,0.4925973765398597
19,3489,2023-07-28,8.425864608973026
20,1848,2023-11-17,134.68661517683594
21,4026,2023-11-05,79.37448143784363
22,1146,2023-09-26,13.470081837141873
23,2105,2023-02-28,63.3442115299358
24,3857,2023-07-04,55.203627099110584
25,2769,2023-01-12,9.73543492407775
26,4060,2023-08-12,23.185853716137323
27,1809,2023-03-29,122.49961124782757
28,410,2023-04-08,67.10772740805136
29,646,2023-06-25,71.42861998842424
30,3921,2023-03-09,41.492583963637294
31,1552,2023-06-02,54.76186931343053
32,1114,2023-12-22,35.5389329047898
33,3588,2023-06-01,67.52586377956747
34,62,2023-10-06,65.97435429418343
35,1236,2023-12-25,1.5788259832182616
36,4344,2023-11-14,49.95297325904735
37,1728,2023-03-20,49.6874394278669
38,4593,2023-12-11,3.48465398589948
39,4555,2023-07-08,26.413958156308
40,2967,2023-04-30,114.5274526858622
41,3361,2023-12-29,153.34941166255655
42,1413,2023-09-23,76.21141673646204
43,3585,2023-01-10,8.212561981744114
44,1734,2023-03-11,23.477783022981207
45,3631,2023-09-01,10.078481866066879
46,3870,2023-11-21,52.79720358042813
47,2492,2023-11-12,74.1720906725995
48,2040,2023-12-15,107.60737288159874
49,4888,2023-11-17,98.53777924040537
50,1308,2023-11-09,5.2241521297699105
51,4013,2023-04-21,6.715099157174096
52,1725,2023-08-03,120.21528591158943
53,4691,2023-01-14,92.8259189462085
54,2456,2023-10-19,30.844334519973543
55,942,2023-09-12,28.11051557062514
56,2037,2023-11-14,40.23743150679833
57,1814,2023-09-13,45.395776336300905
58,3062,2023-11-28,14.666000820530597
59,2395,2023-01-15,25.854071150018388
60,4368,2023-11-01,48.338818170053486
61,1285,2023-12-02,11.550431636212156
62,396,2023-06-21,337.67612869214145
63,3764,2023-11-30,16.62974980255653
64,4250,2023-05-10,40.194471816533536
65,1091,2023-03-04,40.38971122402977
66,2889,2023-10-07,30.027053435357814
67,1723,2023-09-13,13.823488737566214
68,4444,2023-01-02,41.661061900482075
69,4007,2023-03-23,4.771302170068696
70,1087,2023-04-02,24.46349087073533
71,1305,2023-08-05,12.696390259905014
72,3113,2023-12-27,6.6296073480614
73,1015,2023-01-07,129.83635320752268
74,4373,2023-03-02,60.18912694525634
75,221,2023-04-19,9.245979378223588
76,3806,2023-05-10,149.18609498505015
77,1127,2023-02-14,12.166809627216407
78,3257,2023-09-08,13.43407093364737
79,1931,2023-07-20,7.151410133861994
80,2123,2023-05-03,65.07067075682241
81,473,2023-01-07,42.30040176919908
82,416,2023-01-29,3.0008317434380887
83,1869,2023-11-16,1.281274787045808
84,4113,2023-06-01,38.03485693904117
85,1534,2023-11-19,52.71032780760895
86,1463,2023-09-14,86.54458851116722
87,1866,2023-04-07,32.53053355197579
